fecha;demanda_sistemica_mw;media_movil_30d;Mes;Dia_Semana
2006-09-23;6705,42;6737,098;9;5
2006-09-24;6620,780000000001;6726,587333333334;9;6
2006-09-25;6871,870000000001;6733,8043333333335;9;0
2006-09-26;7039,45;6750,302333333332;9;1
2006-09-27;6857,370000000001;6753,343333333334;9;2
2006-09-28;6889,42;6748,720666666666;9;3
2006-09-29;6911,42;6746,551333333334;9;4
2006-09-30;6695,15;6736,907;9;5
2006-10-01;6312,33;6719,083666666666;10;6
2006-10-02;6855,74;6724,976333333334;10;0
2006-10-03;6939,75;6737,281000000001;10;1
2006-10-04;6843,62;6738,391333333334;10;2
2006-10-05;6781,84;6739,159;10;3
2006-10-06;6703,08;6731,794333333333;10;4
2006-10-07;6419,56;6718,819;10;5
2006-10-08;6176,87;6693,500333333333;10;6
2006-10-09;6439,51;6681,432333333333;10;0
2006-10-10;7064,2300000000005;6694,141666666666;10;1
2006-10-11;7213,22;6700,3983333333335;10;2
2006-10-12;7059,58;6703,592999999999;10;3
2006-10-13;6977,280000000001;6707,134;10;4
2006-10-14;6533,08;6701,591;10;5
2006-10-15;6267,9;6684,566000000001;10;6
2006-10-16;6800,92;6691,200000000001;10;0
2006-10-17;6835,870000000001;6712,278666666667;10;1
2006-10-18;6852,5199999999995;6745,544333333333;10;2
2006-10-19;6898,55;6772,138000000001;10;3
2006-10-20;6867,3099999999995;6776,187000000001;10;4
2006-10-21;6477,629999999999;6761,160333333333;10;5
2006-10-22;6255,09;6738,878666666667;10;6
2006-10-23;6862,83;6744,125666666666;10;0
2006-10-24;6854,87;6751,928666666666;10;1
2006-10-25;6761,049999999999;6748,234666666667;10;2
2006-10-26;6665,790000000001;6735,779333333334;10;3
2006-10-27;6726,6900000000005;6731,423333333333;10;4
2006-10-28;6399,759999999999;6715,101333333334;10;5
2006-10-29;6192,83;6691,148333333333;10;6
2006-10-30;6752,09;6693,046333333333;10;0
2006-10-31;6411,589999999999;6696,3550000000005;10;1
2006-11-01;6642,36;6689,242333333333;11;2
2006-11-02;7047,33;6692,828333333333;11;3
2006-11-03;7172,139999999999;6703,7789999999995;11;4
2006-11-04;6822,66;6705,139666666667;11;5
2006-11-05;6657,97;6703,636;11;6
2006-11-06;7224,67;6730,473;11;0
2006-11-07;7282,679999999999;6767,333333333333;11;1
2006-11-08;7267,67;6794,938666666667;11;2
2006-11-09;7299,58;6802,783666666667;11;3
2006-11-10;7279,870000000001;6805,0053333333335;11;4
2006-11-11;6881,17;6799,058333333333;11;5
2006-11-12;6660,01;6788,482666666667;11;6
2006-11-13;7251,26;6812,4220000000005;11;0
2006-11-14;7227,19;6844,3983333333335;11;1
2006-11-15;7257,07;6859,603333333333;11;2
2006-11-16;7211,02;6872,108333333334;11;3
2006-11-17;7063,92;6879,155;11;4
2006-11-18;6754,75;6874,361666666666;11;5
2006-11-19;6690,34;6868,462666666665;11;6
2006-11-20;7273,66;6894,997;11;0
2006-11-21;7265,570000000001;6928,679666666666;11;1
2006-11-22;7286,38;6942,798;11;2
2006-11-23;7314,4;6958,115666666667;11;3
2006-11-24;7238,91;6974,044333333333;11;4
2006-11-25;6966,639999999999;6984,072666666666;11;5
2006-11-26;6813,84;6986,977666666668;11;6
2006-11-27;7391,12;7020,023;11;0
2006-11-28;7488,19;7063,201666666667;11;1
2006-11-29;7443,36;7086,244000000001;11;2
